Demographic Category,Demographic Variable,Cohort Year,Cohort,Total Cohort #,Total Grads #,Total Grads % of cohort,Total Regents #,Total Regents % of cohort,Total Regents % of grads,Advanced Regents #,Advanced Regents % of cohort,Advanced Regents % of grads,Regents w/o Advanced #,Regents w/o Advanced % of cohort,Regents w/o Advanced % of grads,Local #,Local % of cohort,Local % of grads,Still Enrolled #,Still Enrolled % of cohort,Dropped Out #,Dropped Out % of cohort,SACC (IEP Diploma) #,SACC (IEP Diploma) % of cohort,TASC (GED) #,TASC (GED) % of cohort
Gender by Ethnicity,Female Asian,2004,4 year August,5197,4349,83.7,3823,73.6,87.9,No Data,No Data,No Data,No Data,No Data,No Data,526,10.1,12.1,577,11.1,247,4.8,No Data,No Data,No Data,No Data
Gender by Ethnicity,Female Asian,2014,4 year June,6216,5570,89.6,5476,88.1,98.3,3445,55.4,61.8,2031,32.7,36.5,94,1.5,1.7,485,7.8,147,2.4,8,0.1,6,0.1
Gender by Ethnicity,Female Asian,2013,4 year June,6038,5439,90.1,5363,88.8,98.6,3340,55.3,61.4,2023,33.5,37.2,76,1.3,1.4,438,7.3,136,2.3,11,0.2,12,0.2
Gender by Ethnicity,Female Asian,2012,4 year June,5965,5270,88.3,5204,87.2,98.7,3051,51.1,57.9,2153,36.1,40.9,66,1.1,1.3,509,8.5,165,2.8,13,0.2,8,0.1
Gender by Ethnicity,Female Asian,2011,4 year June,6014,5245,87.2,5203,86.5,99.2,3081,51.2,58.7,2122,35.3,40.5,42,0.7,0.8,559,9.3,189,3.1,14,0.2,6,0.1
Gender by Ethnicity,Female Asian,2010,4 year June,6139,5150,83.9,5105,83.2,99.1,3050,49.7,59.2,2055,33.5,39.9,45,0.7,0.9,692,11.3,264,4.3,21,0.3,9,0.1
Gender by Ethnicity,Female Asian,2009,4 year June,6352,5272,83.0,5226,82.3,99.1,3159,49.7,59.9,2067,32.5,39.2,46,0.7,0.9,776,12.2,269,4.2,23,0.4,12,0.2
Gender by Ethnicity,Female Asian,2008,4 year June,5932,4983,84.0,4942,83.3,99.2,2982,50.3,59.8,1960,33.0,39.3,41,0.7,0.8,704,11.9,214,3.6,18,0.3,12,0.2
Gender by Ethnicity,Female Asian,2007,4 year June,5639,4757,84.4,4522,80.2,95.1,2831,50.2,59.5,1691,30.0,35.5,235,4.2,4.9,618,11.0,224,4.0,20,0.4,18,0.3
Gender by Ethnicity,Female Asian,2006,4 year June,5524,4659,84.3,4342,78.6,93.2,2726,49.3,58.5,1616,29.3,34.7,317,5.7,6.8,595,10.8,224,4.1,18,0.3,28,0.5
Gender by Ethnicity,Female Asian,2005,4 year June,5292,4404,83.2,3963,74.9,90.0,2597,49.1,59.0,1366,25.8,31.0,441,8.3,10.0,616,11.6,201,3.8,20,0.4,51,1.0
Gender by Ethnicity,Female Asian,2004,4 year June,5197,4198,80.8,3742,72.0,89.1,2513,48.4,59.9,1229,23.6,29.3,456,8.8,10.9,728,14.0,247,4.8,22,0.4,1,0.0
Gender by Ethnicity,Female Asian,2003,4 year June,4979,3929,78.9,3461,69.5,88.1,2330,46.8,59.3,1131,22.7,28.8,468,9.4,11.9,686,13.8,337,6.8,14,0.3,8,0.2
Gender by Ethnicity,Female Asian,2002,4 year June,5057,3737,73.9,3194,63.2,85.5,1919,37.9,51.4,1275,25.2,34.1,545,10.8,14.6,789,15.6,449,8.9,20,0.4,30,0.6
Gender by Ethnicity,Female Asian,2001,4 year June,4695,3428,73.0,2793,59.5,81.5,1788,38.1,52.2,1005,21.4,29.3,639,13.6,18.6,785,16.7,440,9.4,30,0.6,8,0.2
Gender by Ethnicity,Female Asian,2013,5 year August,6022,5628,93.5,5522,91.7,98.1,3342,55.5,59.4,2180,36.2,38.7,106,1.8,1.9,142,2.4,188,3.1,47,0.8,15,0.2
Gender by Ethnicity,Female Asian,2012,5 year August,5946,5523,92.9,5430,91.3,98.3,3073,51.7,55.6,2357,39.6,42.7,93,1.6,1.7,145,2.4,233,3.9,35,0.6,10,0.2
Gender by Ethnicity,Female Asian,2011,5 year August,6003,5513,91.8,5448,90.8,98.8,3098,51.6,56.2,2350,39.1,42.6,65,1.1,1.2,165,2.7,288,4.8,24,0.4,12,0.2
Gender by Ethnicity,Female Asian,2010,5 year August,6124,5484,89.5,5414,88.4,98.7,3093,50.5,56.4,2321,37.9,42.3,70,1.1,1.3,215,3.5,367,6.0,42,0.7,14,0.2
Gender by Ethnicity,Female Asian,2009,5 year August,6347,5678,89.5,5612,88.4,98.8,3211,50.6,56.6,2401,37.8,42.3,66,1.0,1.2,235,3.7,394,6.2,25,0.4,15,0.2
Gender by Ethnicity,Female Asian,2008,5 year August,5914,5310,89.8,5251,88.8,98.9,3013,50.9,56.7,2238,37.8,42.1,59,1.0,1.1,234,4.0,312,5.3,40,0.7,16,0.3
Gender by Ethnicity,Female Asian,2007,5 year August,5617,5095,90.7,4741,84.4,93.1,2863,51.0,56.2,1878,33.4,36.9,354,6.3,6.9,118,2.1,335,6.0,44,0.8,22,0.4
Gender by Ethnicity,Female Asian,2006,5 year August,5556,5024,90.4,4578,82.4,91.1,2772,49.9,55.2,1806,32.5,35.9,446,8.0,8.9,132,2.4,331,6.0,40,0.7,29,0.5
Gender by Ethnicity,Female Asian,2013,5 year June,6022,5608,93.1,5506,91.4,98.2,3342,55.5,59.6,2164,35.9,38.6,102,1.7,1.8,159,2.6,191,3.2,47,0.8,15,0.2
Gender by Ethnicity,Female Asian,2012,5 year June,5946,5501,92.5,5413,91.0,98.4,3073,51.7,55.9,2340,39.4,42.5,88,1.5,1.6,165,2.8,235,4.0,35,0.6,10,0.2
Gender by Ethnicity,Female Asian,2011,5 year June,6003,5496,91.6,5432,90.5,98.8,3098,51.6,56.4,2334,38.9,42.5,64,1.1,1.2,182,3.0,288,4.8,24,0.4,12,0.2
Gender by Ethnicity,Female Asian,2010,5 year June,6124,5461,89.2,5392,88.0,98.7,3092,50.5,56.6,2300,37.6,42.1,69,1.1,1.3,235,3.8,370,6.0,42,0.7,14,0.2
Gender by Ethnicity,Female Asian,2009,5 year June,6347,5649,89.0,5584,88.0,98.8,3210,50.6,56.8,2374,37.4,42.0,65,1.0,1.2,263,4.1,395,6.2,25,0.4,15,0.2
Gender by Ethnicity,Female Asian,2008,5 year June,5914,5280,89.3,5223,88.3,98.9,3012,50.9,57.0,2211,37.4,41.9,57,1.0,1.1,260,4.4,316,5.3,40,0.7,16,0.3
Gender by Ethnicity,Female Asian,2007,5 year June,5617,5064,90.2,4727,84.2,93.3,2862,51.0,56.5,1865,33.2,36.8,337,6.0,6.7,137,2.4,345,6.1,46,0.8,22,0.4
Gender by Ethnicity,Female Asian,2006,5 year June,5556,4993,89.9,4559,82.1,91.3,2772,49.9,55.5,1787,32.2,35.8,434,7.8,8.7,156,2.8,339,6.1,40,0.7,28,0.5
Gender by Ethnicity,Female Asian,2005,5 year June,5329,4738,88.9,4163,78.1,87.9,2641,49.6,55.7,1522,28.6,32.1,575,10.8,12.1,161,3.0,340,6.4,44,0.8,45,0.8
Gender by Ethnicity,Female Asian,2004,5 year June,5181,4567,88.1,3955,76.3,86.6,2572,49.6,56.3,1383,26.7,30.3,612,11.8,13.4,179,3.5,347,6.7,41,0.8,46,0.9
Gender by Ethnicity,Female Asian,2003,5 year June,4979,4284,86.0,3654,73.4,85.3,2383,47.9,55.6,1271,25.5,29.7,630,12.7,14.7,189,3.8,463,9.3,30,0.6,8,0.2
Gender by Ethnicity,Female Asian,2002,5 year June,5057,4144,81.9,3381,66.9,81.6,1979,39.1,47.8,1402,27.7,33.8,773,15.3,18.7,233,4.6,578,11.4,39,0.8,30,0.6
Gender by Ethnicity,Female Asian,2001,5 year June,4695,3800,80.9,2941,62.6,77.4,1832,39.0,48.2,1109,23.6,29.2,865,18.4,22.8,227,4.8,604,12.9,49,1.0,8,0.2
Gender by Ethnicity,Female Asian,2012,6 year June,5946,5546,93.3,5443,91.5,98.1,3073,51.7,55.4,2370,39.9,42.7,103,1.7,1.9,96,1.6,248,4.2,35,0.6,11,0.2
Gender by Ethnicity,Female Asian,2011,6 year June,6003,5543,92.3,5477,91.2,98.8,3099,51.6,55.9,2378,39.6,42.9,66,1.1,1.2,121,2.0,299,5.0,27,0.4,12,0.2
Gender by Ethnicity,Female Asian,2010,6 year June,6119,5528,90.3,5453,89.1,98.6,3093,50.5,56.0,2360,38.6,42.7,75,1.2,1.4,130,2.1,400,6.5,43,0.7,16,0.3
Gender by Ethnicity,Female Asian,2009,6 year June,6356,5728,90.1,5654,89.0,98.7,3212,50.5,56.1,2442,38.4,42.6,74,1.2,1.3,172,2.7,414,6.5,27,0.4,15,0.2
Gender by Ethnicity,Female Asian,2008,6 year June,5916,5358,90.6,5295,89.5,98.8,3014,50.9,56.3,2281,38.6,42.6,63,1.1,1.2,127,2.1,347,5.9,66,1.1,16,0.3
Gender by Ethnicity,Female Asian,2007,6 year June,5629,5140,91.3,4775,84.8,92.9,2868,51.0,55.8,1907,33.9,37.1,365,6.5,7.1,65,1.2,348,6.2,51,0.9,22,0.4
Gender by Ethnicity,Female Asian,2006,6 year June,5524,5070,91.8,4599,83.3,90.7,2776,50.3,54.8,1823,33.0,36.0,471,8.5,9.3,41,0.7,348,6.3,37,0.7,27,0.5
Gender by Ethnicity,Female Asian,2005,6 year June,5319,4803,90.3,4194,78.8,87.3,2643,49.7,55.0,1551,29.2,32.3,609,11.4,12.7,74,1.4,346,6.5,47,0.9,48,0.9
Gender by Ethnicity,Female Asian,2004,6 year June,5181,4648,89.7,3989,77.0,85.8,2571,49.6,55.3,1418,27.4,30.5,659,12.7,14.2,93,1.8,376,7.3,42,0.8,19,0.4
Gender by Ethnicity,Female Asian,2003,6 year June,4977,4341,87.2,3672,73.8,84.6,2387,48.0,55.0,1285,25.8,29.6,669,13.4,15.4,76,1.5,496,10.0,33,0.7,26,0.5
Gender by Ethnicity,Female Asian,2002,6 year June,5057,4223,83.5,3407,67.4,80.7,1983,39.2,47.0,1424,28.2,33.7,826,16.3,19.6,102,2.0,625,12.4,44,0.9,30,0.6
Gender by Ethnicity,Female Asian,2001,6 year June,4695,3884,82.7,2969,63.2,76.4,1834,39.1,47.2,1135,24.2,29.2,923,19.7,23.8,74,1.6,670,14.3,52,1.1,8,0.2
Gender by Ethnicity,Female Black,2014,4 year August,10060,7836,77.9,7125,70.8,90.9,1037,10.3,13.2,6088,60.5,77.7,711,7.1,9.1,1454,14.5,637,6.3,53,0.5,79,0.8
Gender by Ethnicity,Female Black,2013,4 year August,10176,7805,76.7,7145,70.2,91.5,1061,10.4,13.6,6084,59.8,78.0,660,6.5,8.5,1578,15.5,666,6.5,48,0.5,76,0.7
Gender by Ethnicity,Female Black,2012,4 year August,10819,8115,75.0,7496,69.3,92.4,1049,9.7,12.9,6447,59.6,79.4,619,5.7,7.6,1775,16.4,782,7.2,71,0.7,63,0.6
Gender by Ethnicity,Female Black,2011,4 year August,10910,7882,72.2,7375,67.6,93.6,946,8.7,12.0,6429,58.9,81.6,507,4.6,6.4,1981,18.2,879,8.1,99,0.9,62,0.6
Gender by Ethnicity,Female Black,2010,4 year August,11322,7841,69.3,7378,65.2,94.1,999,8.8,12.7,6379,56.3,81.4,463,4.1,5.9,2301,20.3,976,8.6,122,1.1,77,0.7
Gender by Ethnicity,Female Black,2009,4 year August,12241,8206,67.0,7767,63.5,94.7,1037,8.5,12.6,6730,55.0,82.0,439,3.6,5.3,2573,21.0,1183,9.7,141,1.2,124,1.0
Gender by Ethnicity,Female Black,2008,4 year August,12793,8485,66.3,8067,63.1,95.1,1106,8.6,13.0,6961,54.4,82.0,418,3.3,4.9,2679,20.9,1320,10.3,191,1.5,113,0.9
Gender by Ethnicity,Female Black,2007,4 year August,13122,8767,66.8,7150,54.5,81.6,1128,8.6,12.9,6022,45.9,68.7,1617,12.3,18.4,2569,19.6,1436,10.9,183,1.4,161,1.2
Gender by Ethnicity,Female Black,2006,4 year August,13431,9044,67.3,6671,49.7,73.8,1277,9.5,14.1,5394,40.2,59.6,2373,17.7,26.2,2470,18.4,1496,11.1,206,1.5,210,1.6
Gender by Ethnicity,Female Black,2005,4 year August,13538,8777,64.8,6002,44.3,68.4,1183,8.7,13.5,4819,35.6,54.9,2775,20.5,31.6,2812,20.8,1369,10.1,266,2.0,314,2.3
Gender by Ethnicity,Female Black,2004,4 year August,13050,8323,63.8,5260,40.3,63.2,No Data,No Data,No Data,No Data,No Data,No Data,3063,23.5,36.8,3022,23.2,1430,11.0,No Data,No Data,No Data,No Data
Gender by Ethnicity,Female Black,2014,4 year June,10060,7520,74.8,6897,68.6,91.7,1036,10.3,13.8,5861,58.3,77.9,623,6.2,8.3,1770,17.6,637,6.3,53,0.5,79,0.8
Gender by Ethnicity,Female Black,2013,4 year June,10176,7491,73.6,6908,67.9,92.2,1055,10.4,14.1,5853,57.5,78.1,583,5.7,7.8,1891,18.6,666,6.5,49,0.5,76,0.7
Gender by Ethnicity,Female Black,2012,4 year June,10819,7742,71.6,7200,66.5,93.0,1047,9.7,13.5,6153,56.9,79.5,542,5.0,7.0,2146,19.8,782,7.2,71,0.7,63,0.6
Gender by Ethnicity,Female Black,2011,4 year June,10910,7536,69.1,7095,65.0,94.1,942,8.6,12.5,6153,56.4,81.6,441,4.0,5.9,2323,21.3,879,8.1,103,0.9,62,0.6
Gender by Ethnicity,Female Black,2010,4 year June,11322,7296,64.4,6903,61.0,94.6,992,8.8,13.6,5911,52.2,81.0,393,3.5,5.4,2845,25.1,976,8.6,123,1.1,77,0.7
Gender by Ethnicity,Female Black,2009,4 year June,12241,7610,62.2,7252,59.2,95.3,1033,8.4,13.6,6219,50.8,81.7,358,2.9,4.7,3157,25.8,1184,9.7,152,1.2,124,1.0
Gender by Ethnicity,Female Black,2008,4 year June,12793,7876,61.6,7524,58.8,95.5,1100,8.6,14.0,6424,50.2,81.6,352,2.8,4.5,3276,25.6,1324,10.3,199,1.6,113,0.9
Gender by Ethnicity,Female Black,2007,4 year June,13122,8138,62.0,6839,52.1,84.0,1120,8.5,13.8,5719,43.6,70.3,1299,9.9,16.0,3179,24.2,1451,11.1,188,1.4,160,1.2
Gender by Ethnicity,Female Black,2006,4 year June,13431,8478,63.1,6426,47.8,75.8,1273,9.5,15.0,5153,38.4,60.8,2052,15.3,24.2,3021,22.5,1511,11.3,206,1.5,210,1.6
Gender by Ethnicity,Female Black,2005,4 year June,13538,8262,61.0,5821,43.0,70.5,1177,8.7,14.2,4644,34.3,56.2,2441,18.0,29.5,3326,24.6,1369,10.1,267,2.0,314,2.3
Gender by Ethnicity,Female Black,2004,4 year June,13050,7756,59.4,5055,38.7,65.2,1244,9.5,16.0,3811,29.2,49.1,2701,20.7,34.8,3588,27.5,1431,11.0,258,2.0,17,0.1
Gender by Ethnicity,Female Black,2003,4 year June,13101,7245,55.3,4480,34.2,61.8,1150,8.8,15.9,3330,25.4,46.0,2765,21.1,38.2,3769,28.8,1732,13.2,240,1.8,92,0.7
Gender by Ethnicity,Female Black,2002,4 year June,13116,6593,50.3,3897,29.7,59.1,813,6.2,12.3,3084,23.5,46.8,2708,20.6,41.1,3951,30.1,2121,16.2,205,1.6,184,1.4
Gender by Ethnicity,Female Black,2001,4 year June,12877,6306,49.0,3392,26.3,53.8,891,6.9,14.1,2501,19.4,39.7,2916,22.6,46.2,3729,29.0,2488,19.3,304,2.4,48,0.4
Gender by Ethnicity,Female Black,2013,5 year August,10136,8316,82.0,7476,73.8,89.9,1062,10.5,12.8,6414,63.3,77.1,840,8.3,10.1,655,6.5,954,9.4,111,1.1,99,1.0
Gender by Ethnicity,Female Black,2012,5 year August,10809,8699,80.5,7920,73.3,91.0,1050,9.7,12.1,6870,63.6,79.0,779,7.2,9.0,772,7.1,1098,10.2,155,1.4,75,0.7
Gender by Ethnicity,Female Black,2011,5 year August,10891,8626,79.2,7945,73.0,92.1,948,8.7,11.0,6997,64.2,81.1,681,6.3,7.9,746,6.8,1272,11.7,152,1.4,81,0.7
Gender by Ethnicity,Female Black,2010,5 year August,11223,8608,76.7,8003,71.3,93.0,1000,8.9,11.6,7003,62.4,81.4,605,5.4,7.0,918,8.2,1417,12.6,175,1.6,96,0.9
Gender by Ethnicity,Female Black,2009,5 year August,12195,9007,73.9,8432,69.1,93.6,1037,8.5,11.5,7395,60.6,82.1,575,4.7,6.4,1157,9.5,1698,13.9,175,1.4,139,1.1
Gender by Ethnicity,Female Black,2008,5 year August,12756,9243,72.5,8693,68.1,94.0,1108,8.7,12.0,7585,59.5,82.1,550,4.3,6.0,1173,9.2,1892,14.8,292,2.3,142,1.1
Gender by Ethnicity,Female Black,2007,5 year August,13058,9499,72.7,7473,57.2,78.7,1127,8.6,11.9,6346,48.6,66.8,2026,15.5,21.3,769,5.9,2270,17.4,323,2.5,188,1.4
Gender by Ethnicity,Female Black,2006,5 year August,13517,9866,73.0,6958,51.5,70.5,1280,9.5,13.0,5678,42.0,57.6,2908,21.5,29.5,867,6.4,2229,16.5,344,2.5,205,1.5
Gender by Ethnicity,Female Black,2013,5 year June,10136,8254,81.4,7442,73.4,90.2,1062,10.5,12.9,6380,62.9,77.3,812,8.0,9.8,717,7.1,954,9.4,111,1.1,99,1.0
Gender by Ethnicity,Female Black,2012,5 year June,10809,8614,79.7,7865,72.8,91.3,1050,9.7,12.2,6815,63.0,79.1,749,6.9,8.7,853,7.9,1102,10.2,155,1.4,75,0.7
Gender by Ethnicity,Female Black,2011,5 year June,10891,8532,78.3,7872,72.3,92.3,948,8.7,11.1,6924,63.6,81.2,660,6.1,7.7,836,7.7,1274,11.7,152,1.4,81,0.7
Gender by Ethnicity,Female Black,2010,5 year June,11223,8511,75.8,7930,70.7,93.2,1000,8.9,11.7,6930,61.7,81.4,581,5.2,6.8,1007,9.0,1424,12.7,176,1.6,96,0.9
Gender by Ethnicity,Female Black,2009,5 year June,12195,8852,72.6,8310,68.1,93.9,1037,8.5,11.7,7273,59.6,82.2,542,4.4,6.1,1303,10.7,1705,14.0,176,1.4,139,1.1
Gender by Ethnicity,Female Black,2008,5 year June,12756,9082,71.2,8562,67.1,94.3,1108,8.7,12.2,7454,58.4,82.1,520,4.1,5.7,1310,10.3,1911,15.0,295,2.3,142,1.1
Gender by Ethnicity,Female Black,2007,5 year June,13058,9396,72.0,7440,57.0,79.2,1127,8.6,12.0,6313,48.3,67.2,1956,15.0,20.8,843,6.5,2297,17.6,325,2.5,188,1.4
Gender by Ethnicity,Female Black,2006,5 year June,13517,9735,72.0,6925,51.2,71.1,1280,9.5,13.1,5645,41.8,58.0,2810,20.8,28.9,970,7.2,2263,16.7,344,2.5,199,1.5
Gender by Ethnicity,Female Black,2005,5 year June,13678,9525,69.6,6258,45.8,65.7,1189,8.7,12.5,5069,37.1,53.2,3267,23.9,34.3,1103,8.1,2391,17.5,369,2.7,282,2.1
Gender by Ethnicity,Female Black,2004,5 year June,13162,9083,69.0,5476,41.6,60.3,1256,9.5,13.8,4220,32.1,46.5,3607,27.4,39.7,1215,9.2,2077,15.8,371,2.8,416,3.2
Gender by Ethnicity,Female Black,2003,5 year June,13101,8526,65.1,4795,36.6,56.2,1157,8.8,13.6,3638,27.8,42.7,3731,28.5,43.8,1526,11.6,2503,19.1,413,3.2,108,0.8
Gender by Ethnicity,Female Black,2002,5 year June,13116,7925,60.4,4220,32.2,53.2,832,6.3,10.5,3388,25.8,42.8,3756,28.6,47.4,1641,12.5,2964,22.6,336,2.6,186,1.4
Gender by Ethnicity,Female Black,2001,5 year June,12877,7546,58.6,3603,28.0,47.7,902,7.0,12.0,2701,21.0,35.8,3948,30.7,52.3,1414,11.0,3428,26.6,429,3.3,48,0.4
Gender by Ethnicity,Female Black,2012,6 year June,10798,8871,82.2,8030,74.4,90.5,1050,9.7,11.8,6980,64.6,78.7,841,7.8,9.5,457,4.2,1222,11.3,164,1.5,80,0.7
Gender by Ethnicity,Female Black,2011,6 year June,10891,8821,81.0,8083,74.2,91.6,948,8.7,10.7,7135,65.5,80.9,738,6.8,8.4,440,4.0,1363,12.5,167,1.5,87,0.8
Gender by Ethnicity,Female Black,2010,6 year June,11227,8858,78.9,8181,72.9,92.4,1000,8.9,11.3,7181,64.0,81.1,677,6.0,7.6,530,4.7,1543,13.7,188,1.7,97,0.9
Gender by Ethnicity,Female Black,2009,6 year June,12201,9315,76.3,8675,71.1,93.1,1037,8.5,11.1,7638,62.6,82.0,640,5.2,6.9,688,5.6,1860,15.2,186,1.5,139,1.1
Gender by Ethnicity,Female Black,2008,6 year June,12750,9517,74.6,8922,70.0,93.7,1108,8.7,11.6,7814,61.3,82.1,595,4.7,6.3,652,5.1,2049,16.1,390,3.1,131,1.0
Gender by Ethnicity,Female Black,2007,6 year June,13034,9721,74.6,7559,58.0,77.8,1128,8.7,11.6,6431,49.3,66.2,2162,16.6,22.2,412,3.2,2359,18.1,347,2.7,186,1.4
Gender by Ethnicity,Female Black,2006,6 year June,13369,10115,75.7,7014,52.5,69.3,1281,9.6,12.7,5733,42.9,56.7,3101,23.2,30.7,368,2.8,2316,17.3,351,2.6,211,1.6
Gender by Ethnicity,Female Black,2005,6 year June,13673,9935,72.7,6348,46.4,63.9,1189,8.7,12.0,5159,37.7,51.9,3587,26.2,36.1,558,4.1,2535,18.5,387,2.8,250,1.8
Gender by Ethnicity,Female Black,2004,6 year June,13169,9486,72.0,5566,42.3,58.7,1256,9.5,13.2,4310,32.7,45.4,3920,29.8,41.3,702,5.3,2396,18.2,382,2.9,189,1.4
Gender by Ethnicity,Female Black,2003,6 year June,13131,8941,68.1,4873,37.1,54.5,1157,8.8,12.9,3716,28.3,41.6,4068,31.0,45.5,705,5.4,2778,21.2,433,3.3,249,1.9
Gender by Ethnicity,Female Black,2002,6 year June,13116,8353,63.7,4284,32.7,51.3,832,6.3,10.0,3452,26.3,41.3,4120,31.4,49.3,833,6.4,3285,25.0,386,2.9,195,1.5
Gender by Ethnicity,Female Black,2001,6 year June,12877,7943,61.7,3654,28.4,46.0,903,7.0,11.4,2751,21.4,34.6,4308,33.5,54.2,563,4.4,3840,29.8,471,3.7,48,0.4
Gender by Ethnicity,Female Hispanic,2014,4 year August,14188,10735,75.7,9634,67.9,89.7,1930,13.6,18.0,7704,54.3,71.8,1101,7.8,10.3,2055,14.5,1199,8.5,54,0.4,145,1.0
Gender by Ethnicity,Female Hispanic,2013,4 year August,13752,10134,73.7,9220,67.0,91.0,1782,13.0,17.6,7438,54.1,73.4,914,6.6,9.0,2228,16.2,1230,8.9,57,0.4,100,0.7
Gender by Ethnicity,Female Hispanic,2012,4 year August,14020,10170,72.5,9391,67.0,92.3,1584,11.3,15.6,7807,55.7,76.8,779,5.6,7.7,2338,16.7,1316,9.4,90,0.6,98,0.7
Gender by Ethnicity,Female Hispanic,2011,4 year August,14118,9800,69.4,9130,64.7,93.2,1509,10.7,15.4,7621,54.0,77.8,670,4.7,6.8,2641,18.7,1454,10.3,125,0.9,93,0.7
Gender by Ethnicity,Female Hispanic,2010,4 year August,14206,9341,65.8,8747,61.6,93.6,1439,10.1,15.4,7308,51.4,78.2,594,4.2,6.4,2967,20.9,1661,11.7,129,0.9,105,0.7
Gender by Ethnicity,Female Hispanic,2009,4 year August,14914,9510,63.8,8963,60.1,94.2,1456,9.8,15.3,7507,50.3,78.9,547,3.7,5.8,3297,22.1,1817,12.2,149,1.0,132,0.9
Gender by Ethnicity,Female Hispanic,2008,4 year August,14940,9259,62.0,8792,58.8,95.0,1443,9.7,15.6,7349,49.2,79.4,467,3.1,5.0,3379,22.6,1947,13.0,194,1.3,147,1.0
Gender by Ethnicity,Female Hispanic,2007,4 year August,15310,9879,64.5,8095,52.9,81.9,1485,9.7,15.0,6610,43.2,66.9,1784,11.7,18.1,3007,19.6,2052,13.4,179,1.2,183,1.2
Gender by Ethnicity,Female Hispanic,2006,4 year August,14835,9489,64.0,6954,46.9,73.3,1443,9.7,15.2,5511,37.1,58.1,2535,17.1,26.7,2896,19.5,1961,13.2,222,1.5,263,1.8
Gender by Ethnicity,Female Hispanic,2005,4 year August,14396,8988,62.4,5915,41.1,65.8,1382,9.6,15.4,4533,31.5,50.4,3073,21.3,34.2,3018,21.0,1834,12.7,215,1.5,341,2.4
Gender by Ethnicity,Female Hispanic,2004,4 year August,13948,8295,59.5,5099,36.6,61.5,No Data,No Data,No Data,No Data,No Data,No Data,3198,22.9,38.6,3326,23.8,2094,15.0,No Data,No Data,No Data,No Data
Gender by Ethnicity,Female Hispanic,2014,4 year June,14188,10269,72.4,9312,65.6,90.7,1925,13.6,18.7,7387,52.1,71.9,957,6.7,9.3,2520,17.8,1199,8.5,55,0.4,145,1.0
Gender by Ethnicity,Female Hispanic,2013,4 year June,13752,9658,70.2,8858,64.4,91.7,1775,12.9,18.4,7083,51.5,73.3,800,5.8,8.3,2702,19.6,1230,8.9,59,0.4,100,0.7
Gender by Ethnicity,Female Hispanic,2012,4 year June,14020,9741,69.5,9070,64.7,93.1,1585,11.3,16.3,7485,53.4,76.8,671,4.8,6.9,2765,19.7,1316,9.4,92,0.7,98,0.7
