latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
-23.04,-64.13,302.7,2.8,1.6,2020-10-11,0330,Terra,MODIS,42,6.0NRT,292,22.1,N
-22.217,-63.633,303.8,3.1,1.7,2020-10-11,0330,Terra,MODIS,57,6.0NRT,291,29.2,N
-22.219,-63.638,306.1,3.1,1.7,2020-10-11,0330,Terra,MODIS,67,6.0NRT,291.1,36.7,N
-32.783,-65.836,326.9,1.3,1.1,2020-10-11,0330,Terra,MODIS,100,6.0NRT,283.1,42.2,N
-32.798,-65.862,321.3,1.3,1.1,2020-10-11,0330,Terra,MODIS,36,6.0NRT,282,29.9,N
-22.216,-63.622,305.1,2.7,1.6,2020-10-11,0500,Aqua,MODIS,63,6.0NRT,290.9,28.4,N
-22.221,-63.628,303.9,2.7,1.6,2020-10-11,0500,Aqua,MODIS,58,6.0NRT,290.8,25.8,N
-22.39,-63.786,303.9,2.7,1.6,2020-10-11,0500,Aqua,MODIS,57,6.0NRT,280.4,31.5,N
-23.157,-64.249,316.6,2.8,1.6,2020-10-11,0500,Aqua,MODIS,93,6.0NRT,289.2,72.8,N
-23.16,-64.255,312.4,2.8,1.6,2020-10-11,0500,Aqua,MODIS,85,6.0NRT,288.4,56.4,N
-23.166,-64.229,302.8,2.8,1.6,2020-10-11,0500,Aqua,MODIS,51,6.0NRT,289,27,N
-24.252,-59.501,312.7,1.3,1.1,2020-10-11,0500,Aqua,MODIS,86,6.0NRT,292.9,16.2,N
-24.254,-59.489,306.5,1.3,1.1,2020-10-11,0500,Aqua,MODIS,68,6.0NRT,291.7,9.7,N
-24.252,-59.494,312.2,1.3,1.1,2020-10-11,0500,Aqua,MODIS,84,6.0NRT,292.5,15.2,N
-24.263,-59.496,303,1.3,1.1,2020-10-11,0500,Aqua,MODIS,33,6.0NRT,291.5,7,N
-23.492,-64.498,301.4,2.9,1.6,2020-10-11,0500,Aqua,MODIS,41,6.0NRT,289.3,21.5,N
-32.526,-64.844,309.8,1.9,1.3,2020-10-11,0505,Aqua,MODIS,78,6.0NRT,279.3,31.9,N
-32.931,-65.603,304.7,2.1,1.4,2020-10-11,0505,Aqua,MODIS,61,6.0NRT,280.5,27.3,N
-32.936,-65.582,303.6,2.1,1.4,2020-10-11,0505,Aqua,MODIS,56,6.0NRT,280.3,25.7,N
-32.937,-65.587,308.6,2.1,1.4,2020-10-11,0505,Aqua,MODIS,75,6.0NRT,280.8,35.3,N
-33.23,-65.835,301.3,2.1,1.4,2020-10-11,0505,Aqua,MODIS,40,6.0NRT,277.1,26.4,N
-35.875,-62.844,306.4,1.3,1.1,2020-10-11,0505,Aqua,MODIS,68,6.0NRT,282.4,14.4,N
-35.877,-62.83,317.8,1.3,1.1,2020-10-11,0505,Aqua,MODIS,96,6.0NRT,281.6,26.6,N
-23.494,-64.503,300.2,2.9,1.6,2020-10-11,0505,Aqua,MODIS,20,6.0NRT,289,19,N
-23.5,-64.476,300,2.9,1.6,2020-10-11,0505,Aqua,MODIS,10,6.0NRT,289.9,19.8,N
-24.567,-59.092,311,1.2,1.1,2020-10-11,0505,Aqua,MODIS,81,6.0NRT,292.1,13.6,N
-24.569,-59.08,305.8,1.2,1.1,2020-10-11,0505,Aqua,MODIS,42,6.0NRT,290.6,9.1,N
-23.595,-64.528,307.8,2.9,1.6,2020-10-11,0505,Aqua,MODIS,72,6.0NRT,292.1,40,N
-24.45,-59.973,301.7,1.4,1.2,2020-10-11,0505,Aqua,MODIS,22,6.0NRT,291.1,6.9,N
-24.452,-59.959,306.4,1.3,1.2,2020-10-11,0505,Aqua,MODIS,68,6.0NRT,291.3,11.5,N
-24.447,-59.965,303.8,1.3,1.2,2020-10-11,0505,Aqua,MODIS,24,6.0NRT,291,8.6,N
-23.594,-64.535,308.7,2.9,1.6,2020-10-11,0505,Aqua,MODIS,75,6.0NRT,292.8,42.6,N
-24.631,-59.075,303,1.2,1.1,2020-10-11,0505,Aqua,MODIS,53,6.0NRT,291.2,7.1,N
-24.625,-59.233,301.2,1.2,1.1,2020-10-11,0505,Aqua,MODIS,39,6.0NRT,290.7,6.4,N
-24.692,-59.39,309.9,1.2,1.1,2020-10-11,0505,Aqua,MODIS,78,6.0NRT,288.9,14.6,N
-25.203,-58.65,303,1.1,1.1,2020-10-11,0505,Aqua,MODIS,53,6.0NRT,288.2,8.1,N
-25.397,-58.294,300.5,1.1,1,2020-10-11,0505,Aqua,MODIS,19,6.0NRT,289,5,N
-25.408,-58.285,318.6,1.1,1,2020-10-11,0505,Aqua,MODIS,97,6.0NRT,289.2,19.6,N
-25.41,-58.274,301.4,1.1,1,2020-10-11,0505,Aqua,MODIS,40,6.0NRT,288.6,5.7,N
-24.448,-63.742,303.6,2.4,1.5,2020-10-11,0505,Aqua,MODIS,56,6.0NRT,286,27.7,N
-24.453,-63.718,328.3,2.4,1.5,2020-10-11,0505,Aqua,MODIS,100,6.0NRT,288.3,104.3,N
-25.432,-63.383,313,2.2,1.4,2020-10-11,0505,Aqua,MODIS,86,6.0NRT,287.9,41.4,N
-25.436,-63.362,326.7,2.2,1.4,2020-10-11,0505,Aqua,MODIS,100,6.0NRT,291.1,82.1,N
-25.444,-63.386,308.1,2.2,1.4,2020-10-11,0505,Aqua,MODIS,74,6.0NRT,289.2,31,N
-25.449,-63.365,320.5,2.2,1.4,2020-10-11,0505,Aqua,MODIS,100,6.0NRT,290.3,62,N
-26.663,-64.92,313.9,2.6,1.6,2020-10-11,0505,Aqua,MODIS,88,6.0NRT,288.1,57.1,N
-26.665,-64.928,317.7,2.6,1.6,2020-10-11,0505,Aqua,MODIS,95,6.0NRT,288.6,70.1,N
-27.516,-63.887,307.1,2.1,1.4,2020-10-11,0505,Aqua,MODIS,50,6.0NRT,286.8,25.9,N
-27.52,-63.865,328.1,2.1,1.4,2020-10-11,0505,Aqua,MODIS,100,6.0NRT,290.9,82.7,N
-27.533,-63.869,308.5,2.1,1.4,2020-10-11,0505,Aqua,MODIS,74,6.0NRT,287.6,29.2,N
-27.521,-63.87,335.9,2.1,1.4,2020-10-11,0505,Aqua,MODIS,100,6.0NRT,290.7,115.6,N
-27.533,-63.874,300.5,2.1,1.4,2020-10-11,0505,Aqua,MODIS,29,6.0NRT,288.1,16.6,N
-29.431,-62.024,307.7,1.5,1.2,2020-10-11,0505,Aqua,MODIS,72,6.0NRT,289.5,16.1,N
-29.87,-59.581,302.7,1.1,1,2020-10-11,0505,Aqua,MODIS,51,6.0NRT,285.7,8.1,N
-30.168,-61.286,301.6,1.3,1.1,2020-10-11,0505,Aqua,MODIS,43,6.0NRT,288.4,8.6,N
-30.784,-57.966,301.6,1,1,2020-10-11,0505,Aqua,MODIS,43,6.0NRT,285.5,7,N
-31.147,-62.536,315.3,1.5,1.2,2020-10-11,0505,Aqua,MODIS,91,6.0NRT,287.7,25.9,N
-31.149,-62.521,316.9,1.5,1.2,2020-10-11,0505,Aqua,MODIS,94,6.0NRT,288.3,28.4,N
-31.737,-60.72,307.9,1.2,1.1,2020-10-11,0505,Aqua,MODIS,73,6.0NRT,285.2,13.2,N
-31.982,-61.442,321.9,1.2,1.1,2020-10-11,0505,Aqua,MODIS,100,6.0NRT,287.5,28.2,N
-31.984,-61.429,321.2,1.2,1.1,2020-10-11,0505,Aqua,MODIS,100,6.0NRT,288.1,27.2,N
-31.992,-61.444,371.5,1.2,1.1,2020-10-11,0505,Aqua,MODIS,100,6.0NRT,291,166.6,N
-31.994,-61.431,349.6,1.2,1.1,2020-10-11,0505,Aqua,MODIS,100,6.0NRT,290.2,84.6,N
-32.002,-61.446,331.2,1.2,1.1,2020-10-11,0505,Aqua,MODIS,100,6.0NRT,287.7,42.7,N
-32.014,-61.436,312.8,1.2,1.1,2020-10-11,0505,Aqua,MODIS,86,6.0NRT,287,17.4,N
-32.828,-60.279,315.7,1.1,1,2020-10-11,0505,Aqua,MODIS,92,6.0NRT,285.6,19.1,N
-32.888,-60.15,304.3,1.1,1,2020-10-11,0505,Aqua,MODIS,59,6.0NRT,284.2,9.7,N
-32.897,-60.093,306.4,1.1,1,2020-10-11,0505,Aqua,MODIS,68,6.0NRT,284.1,11.1,N
-32.881,-60.315,301.3,1.1,1,2020-10-11,0505,Aqua,MODIS,40,6.0NRT,284.8,7.7,N
-32.832,-60.749,322.6,1.1,1.1,2020-10-11,0505,Aqua,MODIS,100,6.0NRT,286.4,26.6,N
-32.953,-60.136,323.3,1.1,1,2020-10-11,0505,Aqua,MODIS,100,6.0NRT,287.8,25.8,N
-32.963,-60.138,341.3,1.1,1,2020-10-11,0505,Aqua,MODIS,100,6.0NRT,290.3,53.3,N
-32.964,-60.127,300.4,1.1,1,2020-10-11,0505,Aqua,MODIS,15,6.0NRT,284.2,6.9,N
-32.493,-64.757,314.1,1.9,1.3,2020-10-11,0505,Aqua,MODIS,89,6.0NRT,281.4,38.9,N
-32.497,-64.738,328.8,1.9,1.3,2020-10-11,0505,Aqua,MODIS,100,6.0NRT,281.1,75.8,N
-32.505,-64.76,312.8,1.9,1.3,2020-10-11,0505,Aqua,MODIS,86,6.0NRT,279.9,35.8,N
-32.509,-64.741,336.3,1.9,1.3,2020-10-11,0505,Aqua,MODIS,100,6.0NRT,282.8,101.3,N
-32.517,-64.763,320.6,1.9,1.3,2020-10-11,0505,Aqua,MODIS,100,6.0NRT,279.5,53.5,N
-32.521,-64.745,355.9,1.9,1.3,2020-10-11,0505,Aqua,MODIS,100,6.0NRT,286.2,197.2,N
-32.53,-64.827,311.4,1.9,1.3,2020-10-11,0505,Aqua,MODIS,82,6.0NRT,281.3,34,N
-32.538,-64.847,313.2,1.9,1.3,2020-10-11,0505,Aqua,MODIS,66,6.0NRT,280.2,36.4,N
-32.541,-64.83,318.1,1.9,1.3,2020-10-11,0505,Aqua,MODIS,96,6.0NRT,281,46.3,N
-32.531,-64.85,304.5,1.9,1.3,2020-10-11,0505,Aqua,MODIS,55,6.0NRT,278.6,22.8,N
-32.534,-64.832,329.6,1.9,1.3,2020-10-11,0505,Aqua,MODIS,100,6.0NRT,282.6,79.6,N
-32.542,-64.853,311.3,1.9,1.3,2020-10-11,0505,Aqua,MODIS,82,6.0NRT,279.4,34.2,N
-32.365,-65.962,300.1,2.3,1.5,2020-10-11,0505,Aqua,MODIS,19,6.0NRT,284.8,19.4,N
-32.762,-65.848,337.4,2.2,1.4,2020-10-11,0505,Aqua,MODIS,100,6.0NRT,281.7,129.9,N
-32.767,-65.826,358.5,2.2,1.4,2020-10-11,0505,Aqua,MODIS,100,6.0NRT,286.8,262.7,N
-32.776,-65.837,321.1,2.2,1.4,2020-10-11,0505,Aqua,MODIS,56,6.0NRT,282.5,64,N
-32.801,-65.844,300.7,2.2,1.4,2020-10-11,0505,Aqua,MODIS,11,6.0NRT,278.8,21.3,N
-23.492,-64.494,332.1,1,1,2020-10-11,1425,Terra,MODIS,50,6.0NRT,306.5,18.6,D
-23.624,-64.53,323.7,1,1,2020-10-11,1425,Terra,MODIS,37,6.0NRT,305.2,9.8,D
-23.633,-64.531,322.5,1,1,2020-10-11,1425,Terra,MODIS,30,6.0NRT,305.1,9.3,D
-23.637,-64.563,322.4,1,1,2020-10-11,1425,Terra,MODIS,54,6.0NRT,301.7,12,D
-23.639,-64.553,417.2,1,1,2020-10-11,1425,Terra,MODIS,100,6.0NRT,314.6,375.7,D
-23.64,-64.543,340.4,1,1,2020-10-11,1425,Terra,MODIS,87,6.0NRT,306.1,33.6,D
-23.649,-64.545,325.5,1,1,2020-10-11,1425,Terra,MODIS,35,6.0NRT,303.7,13,D
-23.718,-64.635,322.8,1,1,2020-10-11,1425,Terra,MODIS,54,6.0NRT,302.6,12.2,D
-24.335,-60.217,322,1.3,1.1,2020-10-11,1425,Terra,MODIS,42,6.0NRT,308.1,10.7,D
-24.334,-60.306,346.1,1.3,1.1,2020-10-11,1425,Terra,MODIS,91,6.0NRT,311.1,58.9,D
-24.31,-61.207,328.4,1.1,1.1,2020-10-11,1425,Terra,MODIS,41,6.0NRT,314.5,12.3,D
-24.317,-61.231,331.7,1.1,1.1,2020-10-11,1425,Terra,MODIS,71,6.0NRT,311.2,18.5,D
-24.512,-59.948,325.7,1.3,1.1,2020-10-11,1425,Terra,MODIS,50,6.0NRT,307.2,16.1,D
-24.513,-59.935,328.6,1.3,1.1,2020-10-11,1425,Terra,MODIS,70,6.0NRT,311.4,21.4,D
-24.509,-59.941,334.3,1.3,1.1,2020-10-11,1425,Terra,MODIS,78,6.0NRT,309.9,31.5,D
-24.558,-59.621,323.5,1.4,1.2,2020-10-11,1425,Terra,MODIS,45,6.0NRT,309.2,14.1,D
-24.234,-62.771,321.3,1,1,2020-10-11,1425,Terra,MODIS,47,6.0NRT,307.4,6.8,D
-23.961,-64.853,322.1,1,1,2020-10-11,1425,Terra,MODIS,60,6.0NRT,309.4,8.4,D
-24.769,-58.965,354.8,1.5,1.2,2020-10-11,1425,Terra,MODIS,97,6.0NRT,312.4,113,D
-24.771,-58.95,341,1.5,1.2,2020-10-11,1425,Terra,MODIS,87,6.0NRT,310.7,60.5,D
-24.78,-58.967,348.3,1.5,1.2,2020-10-11,1425,Terra,MODIS,93,6.0NRT,308.8,84.2,D
-24.782,-58.952,332.9,1.5,1.2,2020-10-11,1425,Terra,MODIS,79,6.0NRT,308.1,35.6,D
-24.861,-58.562,326.5,1.6,1.3,2020-10-11,1425,Terra,MODIS,30,6.0NRT,310.9,14.9,N
-23.604,-64.536,326.2,1,1,2020-10-11,1425,Terra,MODIS,65,6.0NRT,304.3,15.1,D
-24.165,-59.535,324,1.4,1.2,2020-10-11,1425,Terra,MODIS,57,6.0NRT,307.1,12.5,D
-22.558,-63.846,346,1,1,2020-10-11,1425,Terra,MODIS,92,6.0NRT,302.9,43.4,D
-24.164,-59.549,322.7,1.4,1.2,2020-10-11,1425,Terra,MODIS,42,6.0NRT,307.4,10.2,D
-24.072,-60.287,333.2,1.3,1.1,2020-10-11,1425,Terra,MODIS,80,6.0NRT,308.8,27.5,D
-24.062,-60.286,325.4,1.3,1.1,2020-10-11,1425,Terra,MODIS,67,6.0NRT,309.2,14.6,D
-23.775,-62.31,337,1,1,2020-10-11,1425,Terra,MODIS,84,6.0NRT,312.1,26.1,D
-23.457,-64.477,324.3,1,1,2020-10-11,1425,Terra,MODIS,33,6.0NRT,306.5,9,D
-23.766,-62.308,330.9,1,1,2020-10-11,1425,Terra,MODIS,77,6.0NRT,311.1,17.5,D
-23.778,-62.081,326.1,1,1,2020-10-11,1425,Terra,MODIS,62,6.0NRT,313.4,10.4,D
-23.423,-64.512,326.2,1,1,2020-10-11,1425,Terra,MODIS,47,6.0NRT,305.1,15.3,D
-23.772,-62.074,346.1,1,1,2020-10-11,1425,Terra,MODIS,91,6.0NRT,316.2,37.9,D
-23.302,-64.468,324.7,1,1,2020-10-11,1425,Terra,MODIS,57,6.0NRT,304.3,13.2,D
-23.3,-64.478,323.7,1,1,2020-10-11,1425,Terra,MODIS,50,6.0NRT,302.5,13,D
-23.17,-64.249,337.5,1,1,2020-10-11,1425,Terra,MODIS,85,6.0NRT,308.8,26.1,D
-23.168,-64.258,338.8,1,1,2020-10-11,1425,Terra,MODIS,86,6.0NRT,308.4,29.3,D
-23.118,-64.464,328,1,1,2020-10-11,1425,Terra,MODIS,51,6.0NRT,306.4,14.5,D
-23.117,-64.474,328.9,1,1,2020-10-11,1425,Terra,MODIS,58,6.0NRT,303.2,17.4,D
-23.072,-64.104,331.7,1,1,2020-10-11,1425,Terra,MODIS,37,6.0NRT,308.7,14.3,D
-23.07,-64.114,339,1,1,2020-10-11,1425,Terra,MODIS,70,6.0NRT,307.7,27.1,D
-23.069,-64.123,335.9,1,1,2020-10-11,1425,Terra,MODIS,76,6.0NRT,305.1,25.2,D
-23.049,-64.13,335.1,1,1,2020-10-11,1425,Terra,MODIS,83,6.0NRT,306.1,25.9,D
-23.042,-64.119,328.8,1,1,2020-10-11,1425,Terra,MODIS,48,6.0NRT,307.4,15,D
-23.04,-64.128,326.2,1,1,2020-10-11,1425,Terra,MODIS,56,6.0NRT,305,13.4,D
-23.033,-64.117,328.5,1,1,2020-10-11,1425,Terra,MODIS,59,6.0NRT,305.5,15.5,D
-22.94,-64.652,324.1,1,1,2020-10-11,1425,Terra,MODIS,64,6.0NRT,303,16.1,D
-23.02,-63.717,332.6,1,1,2020-10-11,1425,Terra,MODIS,73,6.0NRT,316.1,9.1,D
-22.775,-63.876,328.2,1,1,2020-10-11,1425,Terra,MODIS,21,6.0NRT,309.2,11.9,D
-23.498,-64.515,322.2,1,1,2020-10-11,1425,Terra,MODIS,29,6.0NRT,302.5,11.1,D
-23.501,-64.495,334.8,1,1,2020-10-11,1425,Terra,MODIS,53,6.0NRT,307.2,23.4,D
-23.502,-64.485,336.8,1,1,2020-10-11,1425,Terra,MODIS,67,6.0NRT,306.8,25.3,D
-23.504,-64.475,335.1,1,1,2020-10-11,1425,Terra,MODIS,67,6.0NRT,306.2,21.4,D
-24.261,-59.499,324.5,1.4,1.2,2020-10-11,1425,Terra,MODIS,43,6.0NRT,308.7,11.9,D
-23.577,-64.536,336.5,1,1,2020-10-11,1425,Terra,MODIS,39,6.0NRT,305.2,25.3,D
-23.592,-64.559,321.8,1,1,2020-10-11,1425,Terra,MODIS,31,6.0NRT,301.7,11.6,D
-23.594,-64.549,333.4,1,1,2020-10-11,1425,Terra,MODIS,40,6.0NRT,305.8,23.4,D
-23.597,-64.529,354.9,1,1,2020-10-11,1425,Terra,MODIS,97,6.0NRT,307.9,61.1,D
-23.603,-64.489,324.1,1,1,2020-10-11,1425,Terra,MODIS,65,6.0NRT,306.7,8.7,D
-23.601,-64.556,330.6,1,1,2020-10-11,1425,Terra,MODIS,77,6.0NRT,303.7,23.3,D
-23.602,-64.546,325.3,1,1,2020-10-11,1425,Terra,MODIS,64,6.0NRT,303.9,14.8,D
-22.555,-63.806,347.2,1,1,2020-10-11,1425,Terra,MODIS,93,6.0NRT,303.4,44.1,D
